Memory (Hex),Owner,Data Name,Data Format,Explanation,Device,Code_Property,Modbus_Register,,,,,,,,
WW008F,AGVS,MCS Message # 53,ASCII,6.4.2 MCS Message Display,AGVS,,198,,,,,,WW,143,WW8F
WW0090,AGVS,MCS Message # 54,ASCII,6.4.2 MCS Message Display,AGVS,,199,,,,,,WW,144,WW90
WW0091,AGVS,MCS Message # 55,ASCII,6.4.2 MCS Message Display,AGVS,,200,,,,,,WW,145,WW91
WW0092,AGVS,MCS Message # 56,ASCII,6.4.2 MCS Message Display,AGVS,,201,,,,,,WW,146,WW92
WW0093,AGVS,MCS Message # 57,ASCII,6.4.2 MCS Message Display,AGVS,,202,,,,,,WW,147,WW93
WW0094,AGVS,MCS Message # 58,ASCII,6.4.2 MCS Message Display,AGVS,,203,,,,,,WW,148,WW94
WW0095,AGVS,MCS Message # 59,ASCII,6.4.2 MCS Message Display,AGVS,,204,,,,,,WW,149,WW95
WW0096,AGVS,MCS Message # 60,ASCII,6.4.2 MCS Message Display,AGVS,,205,,,,,,WW,150,WW96
WW0097,AGVS,MCS Message # 61,ASCII,6.4.2 MCS Message Display,AGVS,,206,,,,,,WW,151,WW97
WW0098,AGVS,MCS Message # 62,ASCII,6.4.2 MCS Message Display,AGVS,,207,,,,,,WW,152,WW98
WW0099,AGVS,MCS Message # 63,ASCII,6.4.2 MCS Message Display,AGVS,,208,,,,,,WW,153,WW99
WW009A,AGVS,MCS Message # 64,ASCII,6.4.2 MCS Message Display,AGVS,,209,,,,,,WW,154,WW9A
WW009B,AGVS,MCS Message # 65,ASCII,6.4.2 MCS Message Display,AGVS,,210,,,,,,WW,155,WW9B
WW009C,AGVS,MCS Message # 66,ASCII,6.4.2 MCS Message Display,AGVS,,211,,,,,,WW,156,WW9C
WW009D,AGVS,MCS Message # 67,ASCII,6.4.2 MCS Message Display,AGVS,,212,,,,,,WW,157,WW9D
WW009E,AGVS,MCS Message # 68,ASCII,6.4.2 MCS Message Display,AGVS,,213,,,,,,WW,158,WW9E
WW009F,AGVS,MCS Message # 69,ASCII,6.4.2 MCS Message Display,AGVS,,214,,,,,,WW,159,WW9F
WW00A0,AGVS,MCS Message # 70,ASCII,6.4.2 MCS Message Display,AGVS,,215,,,,,,WW,160,WWA0
WW00A1,AGVS,MCS Message # 71,ASCII,6.4.2 MCS Message Display,AGVS,,216,,,,,,WW,161,WWA1
WW00A2,AGVS,MCS Message # 72,ASCII,6.4.2 MCS Message Display,AGVS,,217,,,,,,WW,162,WWA2
WW00A3,AGVS,MCS Message # 73,ASCII,6.4.2 MCS Message Display,AGVS,,218,,,,,,WW,163,WWA3
WW00A4,AGVS,MCS Message # 74,ASCII,6.4.2 MCS Message Display,AGVS,,219,,,,,,WW,164,WWA4
WW00A5,AGVS,MCS Message # 75,ASCII,6.4.2 MCS Message Display,AGVS,,220,,,,,,WW,165,WWA5
