Memory (Hex),Owner,Data Name,Data Format,Explanation,Device,Code_Property,Modbus_Register,EQ_Name,,,,,,,Memory Type _ 1,Memory Address,
X009C,EQP,,Boolean,,PORT1,,13,AOI_1,,,,,,,X,156,X9C
X009D,EQP,,Boolean,,PORT1,,14,AOI_1,,,,,,,X,157,X9D
X009E,EQP,,Boolean,,PORT1,,15,AOI_1,,,,,,,X,158,X9E
X009F,EQP,,Boolean,,PORT1,,16,AOI_1,,,,,,,X,159,X9F
X00A0,EQP,Load Request ,Boolean,,PORT2,Load_Request,1,AOI_1,,,,,,,X,160,XA0
X00A1,EQP,Unload Request,Boolean,,PORT2,Unload_Request,2,AOI_1,,,,,,,X,161,XA1
X00A2,EQP,Port Exist,Boolean,,PORT2,Port_Exist,3,AOI_1,,,,,,,X,162,XA2
X00A3,EQP,UP_POS,Boolean,,PORT2,LD_UP_POS,4,AOI_1,,,,,,,X,163,XA3
X00A4,EQP,DOWN_POS,Boolean,,PORT2,LD_DOWN_POS,5,AOI_1,,,,,,,X,164,XA4
X00A5,EQP,EQP Status Down,Boolean,,PORT2,Port_Status_Down,6,AOI_1,,,,,,,X,165,XA5
X00A6,EQP,EQP_Parts_Replacement,Boolean,,PORT2,EQP_Parts_Replacement,7,AOI_1,,,,,,,X,166,XA6
X00A7,EQP,EQP_Maintaining,Boolean,,PORT2,EQP_Maintaining,8,AOI_1,,,,,,,X,167,XA7
X00A8,EQP,,Boolean,,PORT2,,9,AOI_1,,,,,,,X,168,XA8
X00A9,EQP,,Boolean,,PORT2,,10,AOI_1,,,,,,,X,169,XA9
X00AA,EQP,,Boolean,,PORT2,,11,AOI_1,,,,,,,X,170,XAA
X00AB,EQP,,Boolean,,PORT2,,12,AOI_1,,,,,,,X,171,XAB
X00AC,EQP,,Boolean,,PORT2,,13,AOI_1,,,,,,,X,172,XAC
X00AD,EQP,,Boolean,,PORT2,,14,AOI_1,,,,,,,X,173,XAD
X00AE,EQP,,Boolean,,PORT2,,15,AOI_1,,,,,,,X,174,XAE
X00AF,EQP,,Boolean,,PORT2,,16,AOI_1,,,,,,,X,175,XAF
X00B0,EQP,Load Request ,Boolean,,PORT1,Load_Request,1,AOI_2,,,,,,,X,176,XB0
X00B1,EQP,Unload Request,Boolean,,PORT1,Unload_Request,2,AOI_2,,,,,,,X,177,XB1
X00B2,EQP,Port Exist,Boolean,,PORT1,Port_Exist,3,AOI_2,,,,,,,X,178,XB2
X00B3,EQP,UP_POS,Boolean,,PORT1,LD_UP_POS,4,AOI_2,,,,,,,X,179,XB3
X00B4,EQP,DOWN_POS,Boolean,,PORT1,LD_DOWN_POS,5,AOI_2,,,,,,,X,180,XB4
X00B5,EQP,EQP Status Down,Boolean,,PORT1,Port_Status_Down,6,AOI_2,,,,,,,X,181,XB5
X00B6,EQP,EQP_Parts_Replacement,Boolean,,PORT1,EQP_Parts_Replacement,7,AOI_2,,,,,,,X,182,XB6
X00B7,EQP,EQP_Maintaining,Boolean,,PORT1,EQP_Maintaining,8,AOI_2,,,,,,,X,183,XB7
X00B8,EQP,,Boolean,,PORT1,,9,AOI_2,,,,,,,X,184,XB8
X00B9,EQP,,Boolean,,PORT1,,10,AOI_2,,,,,,,X,185,XB9
X00BA,EQP,,Boolean,,PORT1,,11,AOI_2,,,,,,,X,186,XBA
X00BB,EQP,,Boolean,,PORT1,,12,AOI_2,,,,,,,X,187,XBB
X00BC,EQP,,Boolean,,PORT1,,13,AOI_2,,,,,,,X,188,XBC
X00BD,EQP,,Boolean,,PORT1,,14,AOI_2,,,,,,,X,189,XBD
X00BE,EQP,,Boolean,,PORT1,,15,AOI_2,,,,,,,X,190,XBE
X00BF,EQP,,Boolean,,PORT1,,16,AOI_2,,,,,,,X,191,XBF
