MemoY (Hex),Owner,Data Name,Data Format,Explanation,Device,Code_Property,Modbus_Register,EQ_Name,,,,,,,MemoY Type _ 1,MemoY Address,
Y008E,AGVS,,Boolean,,PORT2,,15,QV,,,,,,,Y,142,Y008E
Y008F,AGVS,,Boolean,,PORT2,,16,QV,,,,,,,Y,143,Y008F
Y0090,AGVS,To EQ Up,Boolean,,PORT1,To_EQ_Up,1,AOI_1,,,,,,,Y,144,Y0090
Y0091,AGVS,To EQ Low,Boolean,,PORT1,To_EQ_Low,2,AOI_1,,,,,,,Y,145,Y0091
Y0092,AGVS,CMD reserve Up,Boolean,,PORT1,CMD_reserve_Up,3,AOI_1,,,,,,,Y,146,Y0092
Y0093,AGVS,CMD reserve Low,Boolean,,PORT1,CMD_reserve_Low,4,AOI_1,,,,,,,Y,147,Y0093
Y0094,AGVS,,Boolean,,PORT1,,5,AOI_1,,,,,,,Y,148,Y0094
Y0095,AGVS,,Boolean,,PORT1,,6,AOI_1,,,,,,,Y,149,Y0095
Y0096,AGVS,,Boolean,,PORT1,,7,AOI_1,,,,,,,Y,150,Y0096
Y0097,AGVS,,Boolean,,PORT1,,8,AOI_1,,,,,,,Y,151,Y0097
Y0098,AGVS,,Boolean,,PORT1,,9,AOI_1,,,,,,,Y,152,Y0098
Y0099,AGVS,,Boolean,,PORT1,,10,AOI_1,,,,,,,Y,153,Y0099
Y009A,AGVS,,Boolean,,PORT1,,11,AOI_1,,,,,,,Y,154,Y009A
Y009B,AGVS,,Boolean,,PORT1,,12,AOI_1,,,,,,,Y,155,Y009B
Y009C,AGVS,,Boolean,,PORT1,,13,AOI_1,,,,,,,Y,156,Y009C
Y009D,AGVS,,Boolean,,PORT1,,14,AOI_1,,,,,,,Y,157,Y009D
Y009E,AGVS,,Boolean,,PORT1,,15,AOI_1,,,,,,,Y,158,Y009E
Y009F,AGVS,,Boolean,,PORT1,,16,AOI_1,,,,,,,Y,159,Y009F
Y00A0,AGVS,To EQ Up,Boolean,,PORT2,To_EQ_Up,1,AOI_1,,,,,,,Y,160,Y00A0
Y00A1,AGVS,To EQ Low,Boolean,,PORT2,To_EQ_Low,2,AOI_1,,,,,,,Y,161,Y00A1
Y00A2,AGVS,CMD reserve Up,Boolean,,PORT2,CMD_reserve_Up,3,AOI_1,,,,,,,Y,162,Y00A2
Y00A3,AGVS,CMD reserve Low,Boolean,,PORT2,CMD_reserve_Low,4,AOI_1,,,,,,,Y,163,Y00A3
Y00A4,AGVS,,Boolean,,PORT2,,5,AOI_1,,,,,,,Y,164,Y00A4
