Memory (Hex),Owner,Data Name,Data Format,Explanation,Device,Code_Property,Modbus_Register,EQ_NAME,,,,,,,
WW00AB,AGVS,MCS Message # 81,ASCII,6.4.2 MCS Message Display,AGVS,,226,TS_1,,,,,WW00,171,WW00AB
WW00AC,AGVS,MCS Message # 82,ASCII,6.4.2 MCS Message Display,AGVS,,227,TS_1,,,,,WW00,172,WW00AC
WW00AD,AGVS,MCS Message # 83,ASCII,6.4.2 MCS Message Display,AGVS,,228,TS_1,,,,,WW00,173,WW00AD
WW00AE,AGVS,MCS Message # 84,ASCII,6.4.2 MCS Message Display,AGVS,,229,TS_1,,,,,WW00,174,WW00AE
WW00AF,AGVS,MCS Message # 85,ASCII,6.4.2 MCS Message Display,AGVS,,230,TS_1,,,,,WW00,175,WW00AF
WW00B0,AGVS,MCS Message # 86,ASCII,6.4.2 MCS Message Display,AGVS,,231,TS_1,,,,,WW00,176,WW00B0
WW00B1,AGVS,MCS Message # 87,ASCII,6.4.2 MCS Message Display,AGVS,,232,TS_1,,,,,WW00,177,WW00B1
WW00B2,AGVS,MCS Message # 88,ASCII,6.4.2 MCS Message Display,AGVS,,233,TS_1,,,,,WW00,178,WW00B2
WW00B3,AGVS,MCS Message # 89,ASCII,6.4.2 MCS Message Display,AGVS,,234,TS_1,,,,,WW00,179,WW00B3
WW00B4,AGVS,MCS Message # 90,ASCII,6.4.2 MCS Message Display,AGVS,,235,TS_1,,,,,WW00,180,WW00B4
WW00B5,AGVS,MCS Message # 91,ASCII,6.4.2 MCS Message Display,AGVS,,236,TS_1,,,,,WW00,181,WW00B5
WW00B6,AGVS,MCS Message # 92,ASCII,6.4.2 MCS Message Display,AGVS,,237,TS_1,,,,,WW00,182,WW00B6
WW00B7,AGVS,MCS Message # 93,ASCII,6.4.2 MCS Message Display,AGVS,,238,TS_1,,,,,WW00,183,WW00B7
WW00B8,AGVS,MCS Message # 94,ASCII,6.4.2 MCS Message Display,AGVS,,239,TS_1,,,,,WW00,184,WW00B8
WW00B9,AGVS,MCS Message # 95,ASCII,6.4.2 MCS Message Display,AGVS,,240,TS_1,,,,,WW00,185,WW00B9
WW00BA,AGVS,MCS Message # 96,ASCII,6.4.2 MCS Message Display,AGVS,,241,TS_1,,,,,WW00,186,WW00BA
WW00BB,AGVS,MCS Message # 97,ASCII,6.4.2 MCS Message Display,AGVS,,242,TS_1,,,,,WW00,187,WW00BB
WW00BC,AGVS,MCS Message # 98,ASCII,6.4.2 MCS Message Display,AGVS,,243,TS_1,,,,,WW00,188,WW00BC
WW00BD,AGVS,MCS Message # 99,ASCII,6.4.2 MCS Message Display,AGVS,,244,TS_1,,,,,WW00,189,WW00BD
WW00BE,AGVS,MCS Message # 100,ASCII,6.4.2 MCS Message Display,AGVS,,245,TS_1,,,,,WW00,190,WW00BE
WW00BF,AGVS,,,,AGVS,,,TS_1,,,,,WW00,191,WW00BF
WW00C0,AGVS,,,,AGVS,,,TS_1,,,,,WW00,192,WW00C0
WW00C1,AGVS,,,,AGVS,,,TS_1,,,,,WW00,193,WW00C1
WW00C2,AGVS,,,,AGVS,,,TS_1,,,,,WW00,194,WW00C2
WW00C3,AGVS,,,,AGVS,,,TS_1,,,,,WW00,195,WW00C3
WW00C4,AGVS,,,,AGVS,,,TS_1,,,,,WW00,196,WW00C4
WW00C5,AGVS,,,,AGVS,,,TS_1,,,,,WW00,197,WW00C5
WW00C6,AGVS,,,,AGVS,,,TS_1,,,,,WW00,198,WW00C6
WW00C7,AGVS,,,,AGVS,,,TS_1,,,,,WW00,199,WW00C7
WW00C8,AGVS,,,,AGVS,,,TS_1,,,,,WW00,200,WW00C8
WW00C9,AGVS,,,,AGVS,,,TS_1,,,,,WW00,201,WW00C9
WW00CA,AGVS,,,,AGVS,,,TS_1,,,,,WW00,202,WW00CA
WW00CB,AGVS,,,,AGVS,,,TS_1,,,,,WW00,203,WW00CB
WW00CC,AGVS,,,,AGVS,,,TS_1,,,,,WW00,204,WW00CC
WW00CD,AGVS,,,,AGVS,,,TS_1,,,,,WW00,205,WW00CD
WW00CE,AGVS,,,,AGVS,,,TS_1,,,,,WW00,206,WW00CE
WW00CF,AGVS,,,,AGVS,,,TS_1,,,,,WW00,207,WW00CF
WW00D0,AGVS,,,,AGVS,,,TS_1,,,,,WW00,208,WW00D0
WW00D1,AGVS,,,,AGVS,,,TS_1,,,,,WW00,209,WW00D1
WW00D2,AGVS,,,,AGVS,,,TS_1,,,,,WW00,210,WW00D2
WW00D3,AGVS,,,,AGVS,,,TS_1,,,,,WW00,211,WW00D3
WW00D4,AGVS,,,,AGVS,,,TS_1,,,,,WW00,212,WW00D4
WW00D5,AGVS,,,,AGVS,,,TS_1,,,,,WW00,213,WW00D5
