MemoY (Hex),Owner,Data Name,Data Format,Explanation,Device,Code_Property,Modbus_Register,,,,,,,,MemoY Type _ 1,MemoY Address,
Y00C4,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,196,YC4
Y00C5,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,197,YC5
Y00C6,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,198,YC6
Y00C7,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,199,YC7
Y00C8,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,200,YC8
Y00C9,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,201,YC9
Y00CA,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,202,YCA
Y00CB,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,203,YCB
Y00CC,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,204,YCC
Y00CD,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,205,YCD
Y00CE,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,206,YCE
Y00CF,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,207,YCF
Y00D0,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,208,YD0
Y00D1,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,209,YD1
Y00D2,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,210,YD2
Y00D3,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,211,YD3
Y00D4,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,212,YD4
Y00D5,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,213,YD5
Y00D6,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,214,YD6
Y00D7,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,215,YD7
Y00D8,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,216,YD8
Y00D9,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,217,YD9
Y00DA,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,218,YDA
Y00DB,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,219,YDB
Y00DC,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,220,YDC
Y00DD,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,221,YDD
Y00DE,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,222,YDE
Y00DF,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,223,YDF
Y00E0,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,224,YE0
Y00E1,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,225,YE1
Y00E2,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,226,YE2
Y00E3,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,227,YE3
Y00E4,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,228,YE4
Y00E5,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,229,YE5
Y00E6,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,230,YE6
Y00E7,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,231,YE7
Y00E8,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,232,YE8
Y00E9,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,233,YE9
Y00EA,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,234,YEA
Y00EB,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,235,YEB
Y00EC,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,236,YEC
Y00ED,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,237,YED
Y00EE,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,238,YEE
Y00EF,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,239,YEF
Y00F0,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,240,YF0
Y00F1,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,241,YF1
Y00F2,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,242,YF2
Y00F3,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,243,YF3
Y00F4,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,244,YF4
Y00F5,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,245,YF5
Y00F6,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,246,YF6
Y00F7,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,247,YF7
Y00F8,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,248,YF8
